"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gspt1",0.172248219323395,0.495973206342952,0.067,0.046,1
"Clock",0.172271339069737,0.260926507760319,0.158,0.125,1
"A930007I19Rik",0.172401803086372,0.699639337159689,0.037,0.022,1
"Cdh2",0.172649687945174,1.24174452988117,0.043,0.027,1
"Gdi2",0.173005300268195,0.111410826899705,0.179,0.142,1
"Slc25a5",0.173116591942896,0.395518754812384,0.22,0.183,1
"Podn",0.173125972604586,1.06259965289129,0.024,0.012,1
"Vps51",0.173125972604586,0.193695126943924,0.024,0.012,1
"Eci1",0.173173882561594,0.117886446543546,0.067,0.046,1
"Abcc10",0.173352747622372,0.338685554322935,0.052,0.034,1
"Coa7",0.173444068920853,0.749562583879642,0.024,0.012,1
"Prkcz",0.173795920693339,0.258568000450597,0.173,0.14,1
"Mrs2",0.17382404672789,0.345921842508916,0.067,0.046,1
"Vamp4",0.173925475623605,0.451866602433654,0.078,0.055,1
"Uvssa",0.174100927457037,0.148281721639818,0.089,0.065,1
"Dnajb9",0.174167721129703,0.852471373897538,0.043,0.027,1
"Rusc1",0.174400978415207,1.1124455861203,0.024,0.012,1
"Raet1e",0.174400978415207,0.640559522033843,0.024,0.012,1
"Pptc7",0.174444623702856,0.169238932156784,0.106,0.08,1
"Nrd1",0.174575369211142,0.308721932271203,0.093,0.067,1
"Phykpl",0.174587294356652,0.414624891662279,0.058,0.039,1
"Ppip5k1",0.174944150763818,0.163586261866817,0.061,0.041,1
"Itprid2",0.174998543323654,0.971032665578674,0.063,0.043,1
"Ttc12",0.175041104613348,0.567154882877319,0.024,0.012,1
"Slc10a7",0.175068117870245,0.260853859423901,0.095,0.07,1
"Gm42982",0.175361824494482,0.798977290524837,0.024,0.012,1
"Aars",0.175404469931142,1.33235427787361,0.034,0.019,1
"Rab11fip2",0.175514276765053,0.38424516189759,0.11,0.084,1
"Dgkb",0.175672841992136,1.41660952866156,0.034,0.019,1
"Kdelr2",0.176003969289076,0.239471309627795,0.084,0.06,1
"Tab3",0.17600457918488,0.275957714928604,0.024,0.012,1
"Coq7",0.17600457918488,0.47613033927776,0.024,0.012,1
"Lonp2",0.176466222271468,0.284839103204302,0.175,0.14,1
"Hnf1b",0.176782659409181,0.530895376887407,0.156,0.128,1
"Grtp1",0.177393214307548,0.217793316528019,0.078,0.055,1
"Telo2",0.17793317317974,0.274735942734048,0.052,0.034,1
"Plekhd1",0.177943382219902,0.333633139663233,0.024,0.012,1
"Sfxn5",0.17804467321894,0.422522606859301,0.101,0.075,1
"Hlf",0.178281994085694,0.278306687230619,0.123,0.094,1
"Tspan7",0.178363808799315,0.222400892969931,0.052,0.034,1
"Gm14964",0.178474457389852,0.151470962735609,0.128,0.099,1
"Pcm1",0.178543633631287,0.124370835215409,0.145,0.113,1
"Gmds",0.179167465401574,0.179099807433966,0.147,0.116,1
"Mb21d2",0.179189595559003,1.08719271097235,0.034,0.019,1
"Thoc3",0.179571159431595,0.403201709476149,0.024,0.012,1
"Rps6kc1",0.179735248793906,0.749702372380617,0.034,0.019,1
"Bdnf",0.18000853808089,0.791913116772295,0.034,0.019,1
"Rps25",0.180397071926493,0.199240259738747,0.169,0.135,1
"Emp2",0.180876533352728,0.258189036307875,0.007,0.017,1
