"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EVI2B",2.02203683454374e-38,0.694432090185717,0.918,0.732,4.59184344756537e-34
"ENY2",2.04653887225225e-07,0.693901548107536,0.428,0.289,0.00464748512499763
"SP1",4.31569849120787e-06,0.683236703441911,0.408,0.288,0.0980051970368395
"DLD",0.000284837675276333,0.682997125853591,0.316,0.234,1
"SLC11A2",1.70274670140672e-05,0.679648299205553,0.26,0.16,0.386676748422453
"NUCB1",5.34198524200685e-06,0.679095481138254,0.401,0.286,0.121311142860734
"SH3BGRL",9.95940495085987e-16,0.676637013053185,0.678,0.534,2.26168127029077e-11
"ANKRD13D",4.27969567888967e-06,0.675263899432333,0.375,0.263,0.0971876091719056
"DYNC1I2",1.8957534080374e-06,0.67444986929698,0.359,0.235,0.0430506641431212
"TWF2",2.6881670928481e-06,0.67016403726767,0.405,0.287,0.0610455865114876
"RAP2C",0.00062080429554725,0.669079134697606,0.289,0.215,1
"SFMBT2",4.72362144771226e-05,0.66669680534019,0.349,0.252,1
"ZBTB7A",3.56420584130726e-23,0.664150002156251,0.845,0.698,8.09395504502465e-19
"MIDN",3.16914315980602e-12,0.662133778454331,0.648,0.517,7.19680720160349e-08
"MAP3K1",5.96417521024647e-14,0.659099560660502,0.655,0.467,1.35440454849487e-09
"AGPAT3",4.83351351224357e-07,0.656846948524994,0.424,0.291,0.0109764258349539
"OAZ1",4.27343676125603e-67,0.656807830055217,0.957,0.878,9.70454754113632e-63
"MTRNR2L12",0.000161194649762589,0.655833376083241,0.293,0.207,1
"SUMO3",6.23419113154424e-07,0.653354171768947,0.464,0.333,0.0141572246406238
"MTPN",1.15119486861714e-19,0.651162417435171,0.763,0.638,2.61424842714266e-15
"ARL8B",8.56910745318561e-06,0.651089933002435,0.421,0.31,0.194595861154392
"PARVG",7.97186460466071e-06,0.649915024568413,0.355,0.238,0.18103307330724
"ZFP36",2.65159586294831e-20,0.648653775173394,0.783,0.605,6.02150904516932e-16
"CAPNS1",2.07540802905211e-24,0.648648099744781,0.816,0.662,4.71304409317444e-20
"TMEM33",2.90691074084713e-05,0.646993371430427,0.372,0.272,0.660130360138976
"GBP2",4.75583331119637e-12,0.6468099224126,0.632,0.455,1.08000218663958e-07
"GPX4",2.81571696613554e-11,0.646771157817567,0.599,0.426,6.39421165839719e-07
"CALR",1.81282113321797e-07,0.646136481376718,0.51,0.381,0.00411673551142469
"MYO1F",4.41432446931446e-16,0.645360892148844,0.743,0.529,1.00244894373662e-11
"RHOA",4.34262642448945e-48,0.643546663134258,0.941,0.813,9.8616703473731e-44
"SCAMP2",2.45165124200739e-09,0.642860187482473,0.562,0.425,5.56745480547458e-05
"TMEM179B",1.15680247478278e-06,0.639747438982442,0.398,0.268,0.0262698273998421
"WBP1L",4.06974093318511e-06,0.639599566689671,0.375,0.253,0.0924197468517007
"SEC14L1",5.64074277424776e-06,0.639479122087887,0.378,0.257,0.128095627660392
"TSPAN14",4.68422487254018e-11,0.638905166022272,0.595,0.432,1.06374062630515e-06
"HK1",1.90667443852415e-07,0.638430708989505,0.451,0.306,0.00432986698244449
"DLGAP4",0.000696442525068866,0.638298663751158,0.26,0.183,1
"NBEAL2",0.000257682495084144,0.638235970038094,0.378,0.303,1
"DIP2B",6.18444597455733e-05,0.63636255571733,0.257,0.163,1
"TXN2",3.61120170769782e-05,0.636199845175736,0.365,0.255,0.820067795801097
"DNAJC5",6.63701787937837e-05,0.635916265927001,0.309,0.208,1
"UBE2J1",6.45935919053623e-09,0.63567243787715,0.48,0.319,0.000146685587857887
"NUP214",6.14568890172456e-05,0.635368577262862,0.362,0.259,1
